land,time,hlutf_erlendir,erlendir_a_ibua,innlendir_a_ibua
Danmörk,2009-01-01,0.21789364538586875,5.757383619441248,1.565716966411516
Danmörk,2010-01-01,0.21625035082795396,5.827386827307414,1.65923205927484
Danmörk,2011-01-01,0.2123133276979431,5.410878486821082,1.6673998136067099
Danmörk,2012-01-01,0.25564786474274886,6.0307969488430935,1.530878053137985
Danmörk,2013-01-01,0.2684196110654615,6.465062275701921,1.6080877602907682
Danmörk,2014-01-01,0.2797235746819538,5.536678552443009,1.3857587384066947
Danmörk,2015-01-01,0.2700123696766213,4.471955163381477,1.2502250919661462
Danmörk,2016-01-01,0.28002009713615805,4.480579688396048,1.3032878011049456
Danmörk,2017-01-01,0.28321560713084426,4.328592616202406,1.290359693062727
Danmörk,2018-01-01,0.28578244274809156,4.444521391577916,1.360522780120732
Danmörk,2019-01-01,0.2899881516587678,4.674447863672283,1.4552275398396244
Danmörk,2020-01-01,0.28106219426974144,4.724716540501934,1.56448164380062
Danmörk,2021-01-01,0.2543920320929589,4.317529781329678,1.638786519627889
Finnland,2009-01-01,0.09913921044820422,5.835029393523816,1.7706973221922342
Finnland,2010-01-01,0.11119949093223036,5.603386080515608,1.6301523624954664
Finnland,2011-01-01,0.13338815789473685,6.01743646818772,1.5446571251084322
Finnland,2012-01-01,0.14458421826498938,6.066671693663927,1.546833820830203
Finnland,2013-01-01,0.13899868247694333,5.376378333959727,1.5562529786259311
Finnland,2014-01-01,0.1534199134199134,5.314140050982156,1.4671940042212213
Finnland,2015-01-01,0.15604817594693662,5.073031221272684,1.4624666817066465
Finnland,2016-01-01,0.1683185532950791,5.2549862653768065,1.4571678249790367
Finnland,2017-01-01,0.18,5.1585169263836645,1.4073793015941514
Finnland,2018-01-01,0.1700857888847445,4.575074871702259,1.3718241684645713
Finnland,2019-01-01,0.17050777590406596,4.438288283894378,1.372737014968322
Finnland,2020-01-01,0.17232375979112272,4.032940380168086,1.2840350294477434
Finnland,2021-01-01,0.14980314960629923,3.4391749595524104,1.3518360744608462
Ísland,2009-01-01,0.20953819594302978,45.34204996497782,18.862386454921833
Ísland,2010-01-01,0.16165842525675161,45.706296714523845,22.666735229084175
Ísland,2011-01-01,0.18662420382165604,49.11437671118063,19.66733405205606
Ísland,2012-01-01,0.24185463659147868,64.81040996222191,18.575756335202847
Ísland,2013-01-01,0.1701335668929275,43.55869492095526,19.35408115338275
Ísland,2014-01-01,0.142947769084373,35.770981056196426,20.581753181462712
Ísland,2015-01-01,0.20857007575757575,43.55779689508554,16.936011067698438
Ísland,2016-01-01,0.22419724770642202,35.109774166030626,13.696412217989002
Ísland,2017-01-01,0.22622869844406027,35.63509044932893,15.792365427170127
Ísland,2018-01-01,0.2280297207276454,27.203814647267393,15.114575808652381
Ísland,2019-01-01,0.20244012652507912,23.242542153047992,17.660242940905725
Ísland,2020-01-01,0.24121900826446283,21.68411766071553,14.663020043120657
Ísland,2021-01-01,0.22545454545454544,19.628239337886118,14.827222840782566
Noregur,2012-01-01,0.29543496985357454,7.328109143349841,1.8865930688299242
Noregur,2013-01-01,0.3132262697480088,6.690562862077212,1.7501048968069766
Noregur,2014-01-01,0.31096726005228437,6.413564509213401,1.8243034737400474
Noregur,2015-01-01,0.3354986625907527,6.450040955556181,1.7065986975375427
Noregur,2016-01-01,0.3165941578620261,5.961353018827296,1.7883526687557494
Noregur,2017-01-01,0.31897966915014525,5.690150363237033,1.755595168415544
Noregur,2018-01-01,0.31540717977371135,5.042970215655094,1.5864084727955348
Noregur,2019-01-01,0.2985186293580727,4.341855267138358,1.526427899997413
Noregur,2020-01-01,0.2807657247037375,3.882638429296272,1.558472696757178
Noregur,2021-01-01,0.2464559952746604,3.521186190367689,1.6742391914543506
Svíþjóð,2012-01-01,0.3151076969423106,4.248854515321874,0.8102946446598697
Svíþjóð,2013-01-01,0.32376022708298546,3.834903356084325,0.722537680786064
Svíþjóð,2014-01-01,0.22803521009799038,2.631568859704605,0.5544214170582882
Svíþjóð,2015-01-01,0.23274533310498371,2.4621215552491744,0.5439196342658649
Svíþjóð,2016-01-01,0.22510445682451255,2.220169371621668,0.5360270149044793
Svíþjóð,2017-01-01,0.21710986703988805,1.9480662185538786,0.517917008650941
Svíþjóð,2018-01-01,0.2156927660983281,1.9359516472675298,0.5381781296954359
Svíþjóð,2019-01-01,0.21041412911084043,1.9700894238129927,0.5895753276393372
Svíþjóð,2020-01-01,0.20082083215397678,1.9812956752183055,0.6462539867511802
Svíþjóð,2021-01-01,0.18379604911906033,1.9869814476249295,0.7124451771525675
